,text,favourite_count,retweet_count,created_at
78,"RT @Axiom_G: Drake Knight Armor Secret Set

https://t.co/mnRNEMLAHr

#EldenRing #エルデンリング #Elden #Ring #PlayStation5 #PS5 #PlayStation #Stea…",0,0,2022-03-16 03:12:52
79,"Drake Knight Armor Secret Set

https://t.co/mnRNEMLAHr

#EldenRing #エルデンリング #Elden #Ring #PlayStation5 #PS5… https://t.co/filT0GhOHD",1,1,2022-03-16 03:09:11
80,Elden Ring is Europe's biggest new game franchise launch since The Division #biggest #Elden #Ring… https://t.co/MRdZKOkGAc,0,0,2022-03-16 03:03:34
81,"RT @Axiom_G: Chelona's Rise Puzzle (Ranni's Dark Moon)

https://t.co/V1cqrn6dr1

#EldenRing #エルデンリング #Elden #Ring #PlayStation5 #PS5 #PlayS…",0,0,2022-03-16 02:55:43
82,"Chelona's Rise Puzzle (Ranni's Dark Moon)

https://t.co/V1cqrn6dr1

#EldenRing #エルデンリング #Elden #Ring #PlayStation5… https://t.co/hAiTo8JJ6u",1,2,2022-03-16 02:54:22
83,"Boss Fights!!
#elden #ring #xbox #new #game #first #playthrough #live #games #gamer #newgame #stream #OBS #streamer… https://t.co/2HjcKtnGTg",1,0,2022-03-16 02:45:54
84,RT @Bushido_Bunny: #ELDEN RING #Youtube #Gaming #JustforFun #Streamer #smallstreamers #Fun #Rage live at https://t.co/QCgr5ZtaFy,0,0,2022-03-16 02:08:51
85,RT @Bushido_Bunny: #ELDEN RING #Youtube #Gaming #JustforFun #Streamer #smallstreamers #Fun #Rage live at https://t.co/QCgr5ZtaFy,0,0,2022-03-16 02:07:07
86,"Converted Fringe Tower Puzzle (Cannon of Haima &amp; Gavel of Haima)

https://t.co/Z8ryfEBGkM

#EldenRing #エルデンリング… https://t.co/nZ1HbvM17O",1,1,2022-03-16 01:59:31
87,"#PS4share　＃エルデンリング　＃ELDEN RING

https://t.co/zcsRAKK8Nd https://t.co/B7YHy8W7YJ",1,0,2022-03-16 01:53:54
88,"RT @NaumMw: Defeating Malenia! ROT OP
https://t.co/Ng5FAaJs4v #EldenRing #ELDENRING_SONYSTORE #elden #gaming #streamers #gamer #videogame #…",0,0,2022-03-16 01:51:57
89,"Eclipse Shotel Weapon Location (Overpowered PvP Weapon) in Elden Ring!

https://t.co/JRfNU65NSC

#EldenRing… https://t.co/8aTYIsE1l8",1,1,2022-03-16 01:41:34
90,"RT @Axiom_G: Rotten Duelist Set (Armor &amp; Weapons)

https://t.co/ZFb0dJwWxd

#EldenRing #エルデンリング #Elden #Ring #PlayStation5 #PS5 #PlayStatio…",0,0,2022-03-16 01:29:17
91,"Rotten Duelist Set (Armor &amp; Weapons)

https://t.co/ZFb0dJwWxd

#EldenRing #エルデンリング #Elden #Ring #PlayStation5 #PS5… https://t.co/RcVCPXPPEt",1,2,2022-03-16 01:27:04
92,"Newb gets severely wreckd in #ELDEN RING™ My first #Fromsoft_US title, #BloodBorne excluded, as i suck at it live at https://t.co/3nEoqfXOZ3",0,0,2022-03-16 01:00:21
93,"Ash of War: Ice Spear Location

https://t.co/1G8PkCxUM5

#EldenRing #エルデンリング #Elden #Ring #PlayStation5 #PS5… https://t.co/O13yZ1iVBI",1,1,2022-03-16 00:28:56
94,RT @Bushido_Bunny: #ELDEN RING #Youtube #Gaming #JustforFun #Streamer #smallstreamers #Fun #Rage live at https://t.co/QCgr5ZtaFy,0,0,2022-03-16 00:14:42
95,RT @Bushido_Bunny: #ELDEN RING #Youtube #Gaming #JustforFun #Streamer #smallstreamers #Fun #Rage live at https://t.co/QCgr5ZtaFy,0,0,2022-03-16 00:14:39
96,RT @Pixel__Byte: You Gotta Watch This Elden Ring Badass Absolutely Destroy Bosses https://t.co/zfPNUDlkxv #eldenring #badass #elden #videog…,0,0,2022-03-16 00:09:34
97,JUMP SCARE😂 - PART 4 #elden #ELDENRING #ELDENLING #EldenRingFanart #ELDEN_RING #EldenRingart https://t.co/aERRlYHEbm,3,0,2022-03-16 00:06:11
98,"Elden Ring message griefers are breaking my spirit #Breaking #Elden #griefers #message #Ring #Spirit #Gaming 
https://t.co/u5c9LoNwvb",0,0,2022-03-16 00:02:00
99,"Come watch some Elden Ring...and me dying https://t.co/hbxwoGvRkw 
 #Elden Ring",2,0,2022-03-15 23:59:56
100,Savanasushi is streaming Elden Ring on DLive! https://t.co/oiwBb4DmPW #Elden Ring,3,1,2022-03-15 23:43:07
101,RT @MLopez_Art: Hands plus #Elden ring sketches https://t.co/fyW0KhBBGB,0,0,2022-03-15 23:16:07
102,"Elden Ring message griefers are breaking my spirit #Breaking #Elden #griefers #message #Ring #Spirit #Gaming 
https://t.co/ibHasgIh5x",0,0,2022-03-15 23:03:44
103,"So handsome.

🎮 More gaming content https://t.co/yBsOtW6ZcT

🎮 Join me live on Twitch https://t.co/stYnhGIxfc… https://t.co/Zn6ap1pMqw",1,0,2022-03-15 23:00:55
104,"I Have the Heart of a Lion and a Lifetime Ban from the Zoo. | Old Ass Ring, Then Who Knows | Elden Ring… https://t.co/8ui9GgXXZx",2,0,2022-03-15 22:47:57
105,"Elden Ring message griefers are breaking my spirit #Breaking #Elden #griefers #message #Ring #Spirit #Gaming 
https://t.co/sq8PBeeV1q",0,0,2022-03-15 22:01:13
106,You Gotta Watch This Elden Ring Badass Absolutely Destroy Bosses https://t.co/zfPNUDlkxv #eldenring #badass #elden… https://t.co/Wggjc3a0eO,1,1,2022-03-15 21:30:02
107,Hands plus #Elden ring sketches https://t.co/fyW0KhBBGB,14,2,2022-03-15 21:19:56
108,"Elden Ring Player Builds Controller Out Of Bananas, Slays Dragon https://t.co/niBzi6XTx7 #elden #banana #superlouis #yugi #stjude",0,0,2022-03-15 21:16:34
109,Chev_PlayZ from the FOOTGANG is now live on #twitch with #Elden Ring! https://t.co/8BaSix35NN @SHREDDER_NCB… https://t.co/NTCbRw7KMB,0,0,2022-03-15 21:15:41
110,"https://t.co/PZfxCwuc4E

BLOODHOUND FANG 
ELDEN RING
FIRE MODE ON
SUPPORT! SUB/FOLLOW !

#gameplay #eldenring… https://t.co/6U5yjTIYQh",3,0,2022-03-15 21:00:01
111,RT @Bushido_Bunny: #ELDEN RING #Youtube #Gaming #JustforFun #Streamer #smallstreamers #Fun #Rage live at https://t.co/QCgr5ZtaFy,0,0,2022-03-15 20:41:49
112,"Thank You, Elden Ring Players, For All The Messages Leading Me To Cool Bugs https://t.co/WSF1OzZDEO #eldenring… https://t.co/ixCGk2BYn7",0,0,2022-03-15 20:35:33
113,"RT @WhatVotQuack: Best PVP match yet. 

#ELDEN_RING #ELDEN #eldenlord #vtuber https://t.co/Mj7jUOPFwU",0,0,2022-03-15 20:31:37
114,"Best PVP match yet. 

#ELDEN_RING #ELDEN #eldenlord #vtuber https://t.co/Mj7jUOPFwU",2,1,2022-03-15 20:29:39
115,#ELDEN RING #Youtube #Gaming #JustforFun #Streamer #smallstreamers #Fun #Rage live at https://t.co/QCgr5ZtaFy,3,5,2022-03-15 20:27:23
116,"Defeating Malenia! ROT OP
https://t.co/Ng5FAaJs4v #EldenRing #ELDENRING_SONYSTORE #elden #gaming #streamers #gamer… https://t.co/X2WPvTyl1l",3,1,2022-03-15 19:52:15
117,"This game is a bit weird #ps4 #playstation #gaming #EldenRing #Elden #Ring #DarkSouls #Soulslike #ER #PS4share
https://t.co/3y0zW4Vldo",0,1,2022-03-15 19:38:34
118,"I’m streaming Elden Ring in half an hour! Come join and chat with us &lt;3

#twitch #LiveStream #twitchstreamer… https://t.co/uCr0pJuhl2",0,0,2022-03-15 18:36:55
119,Selling runes on elden ring 34 million for 15$ #xbox #eldenring #Elden #Bloodborne #EldenRingRP,1,0,2022-03-15 18:32:46
120,"Flame birds are deadly #ps4 #playstation #gaming #EldenRing #Elden #Ring #DarkSouls #Soulslike #actionrpg #PS4share
https://t.co/fp6hJr7Bv5",0,0,2022-03-15 18:07:05
121,RT @EGCEMPIRE: Godrick the Golden Boss Fight | Elden Ring Playthrough | Part 8 https://t.co/io3cp88p3H via @Hoover_Gaming @ELDENRING @trihe…,0,0,2022-03-15 18:02:25
122,RT @EGCEMPIRE: Godrick the Golden Boss Fight | Elden Ring Playthrough | Part 8 https://t.co/io3cp88p3H via @Hoover_Gaming @ELDENRING @trihe…,0,0,2022-03-15 17:19:53
123,RT @EGCEMPIRE: Godrick the Golden Boss Fight | Elden Ring Playthrough | Part 8 https://t.co/io3cp88p3H via @Hoover_Gaming @ELDENRING @trihe…,0,0,2022-03-15 17:08:45
124,RT @EGCEMPIRE: Godrick the Golden Boss Fight | Elden Ring Playthrough | Part 8 https://t.co/io3cp88p3H via @Hoover_Gaming @ELDENRING @trihe…,0,0,2022-03-15 17:06:48
125,RT @EGCEMPIRE: Godrick the Golden Boss Fight | Elden Ring Playthrough | Part 8 https://t.co/io3cp88p3H via @Hoover_Gaming @ELDENRING @trihe…,0,0,2022-03-15 17:06:36
126,RT @EGCEMPIRE: Godrick the Golden Boss Fight | Elden Ring Playthrough | Part 8 https://t.co/io3cp88p3H via @Hoover_Gaming @ELDENRING @trihe…,0,0,2022-03-15 17:06:03
127,Godrick the Golden Boss Fight | Elden Ring Playthrough | Part 8 https://t.co/io3cp88p3H via @Hoover_Gaming… https://t.co/oytLO8XvQ3,11,7,2022-03-15 17:05:49
128,RT @ReclaimGeno: Pretty much sums up everything….. 😂😂😂😂 #ELDENLING #ELDEN_RING #elden #funny #meme https://t.co/gZkFRqSYpi,0,0,2022-03-15 16:47:48
129,RT @ReclaimGeno: Pretty much sums up everything….. 😂😂😂😂 #ELDENLING #ELDEN_RING #elden #funny #meme https://t.co/gZkFRqSYpi,0,0,2022-03-15 16:45:45
130,Pretty much sums up everything….. 😂😂😂😂 #ELDENLING #ELDEN_RING #elden #funny #meme https://t.co/gZkFRqSYpi,5,3,2022-03-15 16:24:19
131,RT @EGCEMPIRE: Stromveil Castle Part B | Elden Ring Playthrough | Part 7 https://t.co/Y1J1DX5uyc via @YouTube @Hoover_Gaming @ELDENRING #EL…,0,0,2022-03-15 15:59:22
132,RT @EGCEMPIRE: Stromveil Castle Part B | Elden Ring Playthrough | Part 7 https://t.co/Y1J1DX5uyc via @YouTube @Hoover_Gaming @ELDENRING #EL…,0,0,2022-03-15 15:56:48
133,Soooo should I get elden ring? #Elden,5,0,2022-03-15 14:41:58
134,Kinda wanna draw all the characters in elden ring #EldenRingart #Elden Ring #RanniTheWitch https://t.co/5p9bOcWMGZ,2,0,2022-03-15 14:32:31
135,RT @EGCEMPIRE: Stromveil Castle Part B | Elden Ring Playthrough | Part 7 https://t.co/Y1J1DX5uyc via @YouTube @Hoover_Gaming @ELDENRING #EL…,0,0,2022-03-15 13:55:46
136,RT @EGCEMPIRE: Stromveil Castle Part B | Elden Ring Playthrough | Part 7 https://t.co/Y1J1DX5uyc via @YouTube @Hoover_Gaming @ELDENRING #EL…,0,0,2022-03-15 13:55:05
137,"Things I learned after beating #Elden Ring:

You are not the Elden Lord. Your mimic tear ash is.",1,0,2022-03-15 12:19:39
138,"Easy and hard mode mods available in Elden Ring #difficulty #Elden #pc #tweak
https://t.co/jDWcTovd4P https://t.co/cKJddaeTqU",0,0,2022-03-15 12:04:28
139,New #YouTube video out now! #twitch #Elden Ring | Full Playthrough (Part 3) ScotiTM - PS5 Gameplay https://t.co/tH4aXF1GMG,2,0,2022-03-15 11:36:10
140,#Elden Ring https://t.co/iRZ7MXRq6y,0,0,2022-03-15 06:42:29
141,"#Elden #Ghiza's #Entertainment
Elden Ring: How To Get Ghiza's Wheel 
https://t.co/jV50aQ6vlt",0,0,2022-03-15 06:41:46
142,"#Eater #Elden #Entertainment
Elden Ring Dung Eater Quest Information 
https://t.co/xo04e4zI3a",0,0,2022-03-15 06:40:30
143,"#Elden #speedruns #Entertainment
Elden Ring speedruns are already finishing it in lower than half-hour 
https://t.co/9d6lGzf4oK",0,0,2022-03-15 06:39:13
144,"🔴LIVE🔴

I'm now streaming on Twitch! Playing #Elden Ring https://t.co/qtzbtAydce",1,0,2022-03-15 05:41:45
